PRODUCT_ID,PRODUCT_CATEGORY_ID,SUPPLIER_ID,PRODUCT_NAME,PRODUCT_DESCRIPTION,PRODUCT_PRICE,PRODUCT_QTY_AVAILABLE
3000983,12,2008133,Smart Scale with App,"Powerful food processor with a larger capacity and additional attachments for grating, shredding, and emulsifying. Effortlessly prepare ingredients for any recipe.",55,505
3008069,34,2008515,Smart Grill with App Control,"Achieve restaurant-quality results at home with this sous vide precision cooker. Perfect for cooking meat, fish, and vegetables to a perfect temperature.",80,658
3003420,23,2008515,Smart Air Fryer with Recipe App,"Cutlery set with razor-sharp, stainless steel blades for effortless slicing and dicing.  Elegant design complements any kitchen.",133,535
3005360,26,2008515,Spiralizer Vegetable Cutter,The ultimate kitchen companion for spiralizing enthusiasts.  Professional-grade blades handle even the toughest vegetables with ease.,73,181
3003675,23,2006420,Stack & Store Food Containers (Glass),Grill like a pro with this innovative smart grill. Control temperature and monitor cooking progress right from your phone for perfectly cooked food every time.,81,627
3004905,21,2008133,Stack & Store Food Containers,"Effortlessly chop, slice, and puree ingredients with this powerful food processor. Saves time and makes cooking a breeze.",114,290
3004696,37,2006420,Spiralizer Vegetable Cutter,"Grow a lush indoor vertical garden with this innovative kit. Maximize space and enjoy fresh herbs, vegetables, or flowers year-round.",79,354
3005321,15,2006420,Chop & Dice Pro Food Processor,"Create healthy and fun veggie noodles with this easy-to-use spiralizer. Perfect for zucchini noodles, sweet potato fries, and more.",90,59
3001691,33,2008133,Chop & Dice Food Processor,"Create healthy and fun veggie noodles with this easy-to-use spiralizer. Perfect for zucchini noodles, sweet potato fries, and more.",59,358
3005328,14,2008515,Chop & Dice Pro Plus Food Processor,"Grow a lush indoor vertical garden with this innovative kit. Maximize space and enjoy fresh herbs, vegetables, or flowers year-round.",130,283
3003335,13,2008133,Stack & Store Food Containers,"Advanced spiralizer with interchangeable blades for endless possibilities. Create veggie noodles, ribbons, and more.",79,616
3000769,31,2008133,Stack & Store Lunch Box Set,The ultimate kitchen companion for spiralizing enthusiasts.  Professional-grade blades handle even the toughest vegetables with ease.,26,481
3007904,27,2006420,Chop & Dice Pro Food Processor,Enjoy healthier fried food with this smart air fryer.  Control settings and access recipe inspiration from your phone for effortless cooking.,124,481
3009256,25,2008133,Chop & Dice Pro Plus Food Processor,Keep your knives razor-sharp with this easy-to-use electric knife sharpener. Ensures effortless chopping and slicing for every meal.,53,630
3005805,27,2006541,Chop & Dice Pro Plus Food Processor,Enjoy healthier fried food with this smart air fryer.  Control settings and access recipe inspiration from your phone for effortless cooking.,132,28
3004766,39,2007153,Morning Brew Coffee Maker,"Powerful food processor with a larger capacity and additional attachments for grating, shredding, and emulsifying. Effortlessly prepare ingredients for any recipe.",118,211
